set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm}
,,1.000,0.770,3,0.595,1.000,0.855,  3.50, 3.34,0.000, 28, 14,-36
,,1.000,0.770,3,0.595,1.000,0.855,  3.49, 3.33,0.000, 30,-44, 38
,,1.000,0.770,5,0.482,1.000,0.855,  3.49, 3.33,0.000, -2,-30,-16
,,0.998,0.770,10,0.314,1.000,0.855,  3.47, 3.31,0.000,-52,  2, -8
,,0.994,0.770,13,0.252,1.000,0.855,  3.46, 3.30,0.000, 10, 38, 22
,,,,,,1.000,0.905,  3.36, 3.21,0.001, 10, 44, 30
,,1.000,0.770,2,0.673,1.000,0.855,  3.46, 3.30,0.000, 16,  6, -8
,,1.000,0.770,2,0.673,1.000,0.855,  3.44, 3.29,0.001, 56,-30,  4
,,1.000,0.770,2,0.673,1.000,0.855,  3.43, 3.28,0.001, 40, -2,-16
,,0.996,0.770,12,0.270,1.000,0.855,  3.43, 3.28,0.001, 22,-60, 46
,,1.000,0.770,3,0.595,1.000,0.855,  3.43, 3.27,0.001,-30,-38, 20
,,1.000,0.770,4,0.533,1.000,0.855,  3.42, 3.27,0.001,-64,-38, 20
,,1.000,0.770,2,0.673,1.000,0.855,  3.42, 3.27,0.001,-36, 40, 36
,,1.000,0.770,3,0.595,1.000,0.855,  3.42, 3.26,0.001,-12,-32, 34
,,1.000,0.770,2,0.673,1.000,0.890,  3.39, 3.24,0.001,-48,-58,  4
,,1.000,0.770,2,0.673,1.000,0.892,  3.39, 3.24,0.001,-26,-16,-28
,,1.000,0.770,5,0.482,1.000,0.899,  3.37, 3.23,0.001, 20, 16, 62
,,1.000,0.770,3,0.595,1.000,0.905,  3.36, 3.22,0.001,  6,-16,-20
,,1.000,0.770,2,0.673,1.000,0.920,  3.33, 3.19,0.001,-16,-76,-38
,,1.000,0.770,2,0.673,1.000,0.920,  3.33, 3.18,0.001,-10,-44,-26
,,1.000,0.770,4,0.533,1.000,0.920,  3.32, 3.18,0.001, 24, 22,-24
